Call Ratio,Average Call Distance,Life,Max Distance,Max Date,Min Date,No of Days,Total No In,Total No Out,Total Cost,Total Duration In,Total Duration Out
0.49,0.782,38,14.047,734499,734411,43,121,114,104232,9772,5860
0.36,14.999,6,26.986,734491,734431,9,9,5,2776,660,172
0.49,2.42,30,19.145,734501,734414,32,38,37,31064,2585,1750
0.4,0.841,48,7.026,734501,734412,59,162,107,91988,9410,5203
0.43,5.002,14,13.042,734499,734429,17,20,15,18268,970,1125
0.54,0.595,63,4.03,734500,734411,65,131,151,117560,6601,6724
0.14,1.695,30,9.93,734502,734414,44,315,53,32424,16152,1930
0.62,7.854,6,29.994,734481,734426,6,5,8,11280,146,568
0.5,23.664,4,40.991,734500,734429,4,4,4,2880,169,81
0.36,10.149,9,30,734502,734431,11,14,8,21720,611,162
0.37,0.657,58,4.008,734500,734414,76,228,132,75536,10879,5448
0.57,0.183,12,1.004,734489,734415,15,9,12,97920,2197,511
0.34,0.274,81,3.024,734502,734411,82,656,334,247256,33242,19104
0.26,1.051,40,18.966,734499,734415,51,232,81,65564,9076,4209
0.67,2.077,27,12.934,734500,734417,30,20,41,27756,854,1415
0.29,1.547,34,7.019,734500,734415,41,134,56,70880,8374,1636
0.39,0.371,78,3.008,734500,734411,79,385,242,131968,17314,10703
0.5,21.964,1,21.964,734485,734485,1,1,1,2592,36,117
0.36,1.2,6,2.012,734497,734463,8,9,5,106368,584,270
0.53,9.145,7,19.967,734495,734431,7,7,8,4920,649,246
0.47,0.134,89,3.008,734501,734411,89,760,673,676288,26773,33988
0.5,11.673,7,20.958,734495,734425,7,7,7,8444,166,447
0.47,0.114,90,3.004,734502,734411,92,911,806,489080,43934,38150
0.33,3.672,5,10.909,734498,734434,8,8,4,22916,1329,57
0.53,8.571,8,26.969,734478,734418,8,7,8,8968,206,215
0.44,0.623,60,6.023,734502,734413,65,186,144,91816,8483,5898
0.46,4.406,21,15.074,734501,734413,22,25,21,344484,912,1293
0.44,1.625,44,5.015,734499,734413,46,70,54,104536,3432,2689
